t # 0
v 0 1
v 1 2
v 2 3
v 3 4
v 4 5
v 5 6
v 6 7
v 7 8
v 8 9
v 9 10
v 10 11
v 11 12
v 12 13
v 13 14
v 14 15
v 15 16
v 16 17
v 17 18
v 18 19
v 19 20
v 20 21
v 21 22
v 22 23
v 23 24
v 24 25
v 25 26
v 26 27
v 27 28
v 28 29
v 29 30
v 30 31
v 31 32
v 32 33
v 33 34
v 34 35
v 35 36
v 36 37
v 37 38
v 38 39
v 39 40
v 40 41
v 41 42
v 42 43
v 43 44
v 44 45
v 45 46
v 46 47
v 47 48
v 48 49
v 49 50
v 50 51
v 51 52
v 52 53
v 53 54
v 54 55
v 55 56
v 56 57
v 57 58
v 58 59
v 59 60
v 60 61
v 61 62
v 62 63
v 63 64
v 64 65
v 65 66
v 66 67
v 67 68
v 68 69
v 69 70
e 18 10 1
e 6 7 2
e 16 15 3
e 0 11 4
e 10 5 5
e 7 8 6
e 17 16 7
e 10 0 8
e 5 14 9
e 11 12 10
e 12 5 11
e 5 13 12
e 5 6 13
e 9 3 14
e 10 9 15
e 12 8 16
e 8 17 17
e 17 15 18
e 18 19 19
e 25 24 20
e 19 22 21
e 19 0 22
e 22 20 23
e 22 17 24
e 22 23 25
e 17 21 26
e 22 1 27
e 1 25 28
e 18 26 29
e 31 1 30
e 26 29 31
e 26 8 32
e 5 28 33
e 26 5 34
e 29 30 35
e 31 2 36
e 30 1 37
e 28 27 38
e 18 33 39
e 34 35 40
e 35 36 41
e 33 34 42
e 36 0 43
e 33 32 44
e 36 30 45
e 33 0 46
e 36 3 47
e 18 41 48
e 18 40 49
e 18 42 50
e 5 39 51
e 41 40 52
e 41 42 53
e 37 8 54
e 45 44 55
e 47 46 56
e 40 37 57
e 45 43 58
e 41 37 59
e 42 37 60
e 8 38 61
e 8 5 62
e 42 45 63
e 42 47 64
e 8 2 65
e 18 48 66
e 48 3 67
e 48 49 68
e 54 53 69
e 49 3 70
e 51 52 71
e 49 51 72
e 51 50 73
e 51 54 74
e 48 61 75
e 48 55 76
e 48 41 77
e 62 63 78
e 61 62 79
e 47 60 80
e 63 64 81
e 58 57 82
e 41 61 83
e 64 8 84
e 55 56 85
e 41 55 86
e 8 65 87
e 59 47 88
e 56 58 89
e 56 59 90
e 58 59 91
e 41 69 92
e 18 69 93
e 18 66 94
e 41 66 95
e 66 0 96
e 41 0 97
e 66 68 98
e 67 8 99
e 69 0 100
e 68 67 101
e 69 4 102
t # 1
v 0 71
v 1 4
v 2 72
v 3 73
v 4 74
v 5 75
v 6 76
v 7 77
v 8 78
v 9 16
v 10 79
v 11 80
v 12 10
v 13 64
v 14 81
v 15 82
v 16 83
v 17 84
v 18 85
v 19 86
v 20 87
v 21 88
v 22 89
v 23 90
v 24 91
v 25 17
v 26 92
v 27 93
v 28 94
v 29 66
v 30 95
v 31 96
v 32 97
v 33 98
v 34 99
v 35 100
v 36 101
v 37 102
v 38 103
v 39 104
v 40 105
v 41 106
v 42 107
v 43 108
v 44 109
v 45 110
v 46 67
v 47 111
v 48 112
v 49 113
v 50 114
v 51 115
v 52 116
v 53 117
v 54 118
v 55 119
v 56 19
v 57 120
v 58 42
v 59 121
v 60 122
v 61 123
v 62 124
v 63 49
v 64 125
v 65 126
v 66 127
v 67 128
v 68 129
v 69 130
v 70 131
v 71 132
v 72 60
v 73 133
v 74 134
v 75 135
v 76 136
v 77 137
v 78 138
v 79 139
v 80 140
v 81 141
v 82 142
v 83 143
v 84 144
v 85 145
v 86 146
v 87 147
v 88 148
v 89 149
v 90 150
v 91 151
v 92 152
v 93 153
v 94 37
v 95 154
v 96 155
v 97 156
v 98 157
v 99 158
v 100 159
v 101 160
v 102 161
v 103 162
v 104 163
v 105 164
v 106 165
v 107 166
v 108 167
v 109 168
v 110 169
v 111 170
v 112 171
v 113 172
v 114 173
e 56 54 103
e 53 0 104
e 54 2 105
e 54 55 106
e 55 0 107
e 2 0 108
e 2 1 109
e 54 0 110
e 54 1 111
e 56 57 112
e 57 3 113
e 57 0 114
e 58 7 115
e 6 5 116
e 4 7 117
e 4 0 118
e 56 6 119
e 56 63 66
e 63 8 120
e 61 62 121
e 63 2 122
e 62 0 123
e 2 58 124
e 2 60 125
e 2 59 126
e 2 61 127
e 58 59 128
e 58 60 129
e 56 65 130
e 65 4 131
e 65 64 132
e 67 9 133
e 66 67 134
e 67 0 135
e 9 0 136
e 66 8 137
e 56 66 138
e 58 68 139
e 56 68 140
e 68 8 141
e 58 66 142
e 68 9 143
e 56 58 48
e 66 68 144
e 56 69 145
e 69 70 146
e 69 0 147
e 69 10 148
e 71 11 149
e 69 71 150
e 56 72 151
e 73 0 152
e 72 13 153
e 13 0 154
e 72 0 155
e 72 73 156
e 13 14 157
e 0 74 158
e 56 0 159
e 15 12 160
e 15 0 161
e 56 79 162
e 56 78 163
e 78 0 164
e 78 79 165
e 75 76 166
e 56 75 167
e 78 75 168
e 79 0 169
e 75 0 170
e 77 18 171
e 77 19 172
e 79 9 173
e 18 16 174
e 76 77 175
e 76 16 176
e 56 80 177
e 80 21 178
e 80 20 179
e 80 22 180
e 80 81 181
e 21 0 182
e 81 23 183
e 82 20 184
e 81 20 185
e 82 24 186
e 56 0 187
e 56 46 94
e 56 83 188
e 0 46 189
e 0 83 190
e 83 27 191
e 46 0 192
e 83 0 193
e 58 17 194
e 46 0 195
e 58 28 196
e 83 28 197
e 83 17 198
e 83 58 199
e 56 84 200
e 84 0 201
e 84 30 202
e 84 29 203
e 56 85 204
e 85 33 205
e 85 32 206
e 85 29 207
e 58 32 208
e 85 86 209
e 32 31 210
e 85 58 211
e 58 33 212
e 86 34 213
e 56 87 214
e 36 35 215
e 85 25 216
e 87 35 217
e 85 90 218
e 38 39 219
e 58 85 220
e 88 89 221
e 88 87 222
e 58 88 223
e 90 37 224
e 89 36 225
e 88 35 226
e 56 89 227
e 89 35 228
e 58 87 229
e 90 38 230
e 56 88 231
e 56 91 232
e 92 67 233
e 56 92 234
e 91 68 235
e 91 92 236
e 68 41 237
e 43 42 238
e 68 0 239
e 67 93 240
e 93 94 241
e 58 94 242
e 58 96 243
e 96 95 244
e 93 96 245
e 67 83 246
e 93 58 247
e 44 0 248
e 46 44 249
e 46 44 250
e 97 46 251
e 99 100 252
e 56 97 253
e 101 102 254
e 100 47 255
e 97 58 256
e 100 1 257
e 99 98 258
e 58 1 259
e 56 106 260
e 108 107 261
e 105 104 262
e 109 108 263
e 106 49 264
e 103 105 265
e 109 51 266
e 106 109 267
e 103 50 268
e 106 103 269
e 56 111 270
e 111 110 271
e 111 45 272
e 111 112 273
e 111 45 274
e 67 113 275
e 67 44 276
e 112 67 277
e 46 114 278
e 114 52 279
e 44 0 280
e 0 44 281
t # 2
v 0 174
v 1 175
v 2 176
v 3 177
v 4 178
v 5 179
v 6 180
v 7 181
v 8 121
v 9 182
v 10 105
v 11 183
v 12 89
v 13 48
v 14 184
v 15 185
v 16 186
v 17 187
v 18 188
v 19 189
v 20 190
v 21 191
v 22 1
v 23 192
v 24 193
v 25 194
v 26 195
v 27 196
v 28 67
v 29 197
v 30 198
v 31 199
v 32 19
v 33 200
v 34 42
v 35 201
v 36 202
v 37 203
v 38 204
v 39 49
v 40 205
v 41 62
v 42 206
v 43 207
v 44 208
v 45 27
v 46 209
v 47 210
v 48 211
v 49 212
v 50 150
v 51 33
v 52 213
e 32 28 94
e 30 31 282
e 0 27 283
e 28 29 284
e 30 4 285
e 27 0 286
e 28 0 287
e 3 1 288
e 29 3 289
e 31 5 290
e 0 2 291
e 2 1 292
e 28 4 293
e 28 33 294
e 28 6 295
e 28 7 296
e 28 34 297
e 34 8 298
e 8 35 299
e 34 7 300
e 28 8 301
e 10 36 302
e 9 11 303
e 35 9 304
e 8 9 305
e 32 34 48
e 32 37 306
e 37 1 307
e 34 37 308
e 37 38 309
e 28 1 310
e 28 1 311
e 32 39 66
e 39 0 312
e 39 40 313
e 40 0 314
e 40 1 315
e 1 12 316
e 1 28 317
e 39 28 318
e 34 39 319
e 39 1 320
e 37 12 321
e 32 45 29
e 32 41 322
e 34 45 323
e 34 41 324
e 41 1 325
e 45 47 326
e 45 1 327
e 41 43 328
e 34 1 329
e 47 46 330
e 41 44 331
e 43 42 332
e 41 13 333
e 32 48 334
e 48 14 335
e 48 15 336
e 50 8 337
e 48 0 338
e 34 20 339
e 50 19 340
e 34 8 341
e 14 49 342
e 50 20 343
e 34 19 344
e 48 18 345
e 50 34 346
e 18 16 347
e 48 50 348
e 18 17 349
e 32 52 350
e 52 21 351
e 52 1 352
e 52 22 353
e 52 51 354
e 52 26 355
e 52 34 356
e 34 22 357
e 34 26 358
e 34 24 359
e 24 25 360
e 22 23 361
e 22 24 362
e 34 24 363
t # 3
v 0 214
v 1 150
v 2 215
v 3 216
v 4 217
v 5 218
v 6 219
v 7 220
v 8 221
v 9 178
v 10 222
v 11 45
v 12 207
v 13 100
v 14 223
v 15 224
v 16 225
v 17 226
v 18 227
v 19 91
v 20 228
v 21 229
v 22 230
v 23 128
v 24 19
v 25 142
v 26 165
v 27 42
v 28 231
v 29 232
v 30 233
v 31 234
v 32 189
v 33 235
v 34 236
v 35 237
v 36 238
v 37 239
v 38 240
v 39 241
v 40 138
v 41 242
v 42 243
v 43 244
v 44 151
v 45 67
v 46 245
v 47 246
v 48 247
v 49 248
v 50 249
v 51 149
v 52 250
v 53 251
v 54 252
v 55 253
v 56 62
v 57 254
v 58 255
e 24 22 364
e 22 0 365
e 22 1 366
e 23 1 367
e 23 0 368
e 23 2 369
e 24 28 370
e 28 7 371
e 28 8 372
e 26 5 373
e 28 0 374
e 25 4 375
e 27 6 376
e 25 26 377
e 27 5 378
e 26 27 379
e 25 6 380
e 24 29 381
e 29 30 382
e 29 9 383
e 29 10 384
e 32 0 385
e 32 31 386
e 1 11 387
e 32 1 388
e 32 33 389
e 29 32 390
e 10 32 391
e 1 11 392
