t # 0
v 0 1
v 1 2
v 2 3
v 3 4
v 4 5
v 5 6
v 6 7
v 7 8
v 8 9
v 9 10
v 10 11
v 11 12
v 12 13
v 13 14
v 14 15
v 15 16
v 16 17
v 17 18
v 18 19
v 19 20
v 20 21
v 21 22
v 22 23
v 23 24
v 24 25
v 25 26
v 26 27
v 27 28
v 28 29
v 29 30
v 30 31
v 31 32
v 32 33
v 33 34
v 34 35
v 35 36
v 36 37
v 37 38
v 38 39
v 39 40
v 40 41
v 41 42
v 42 43
v 43 44
v 44 45
v 45 46
v 46 47
v 47 48
v 48 49
v 49 50
v 50 51
v 51 52
v 52 53
v 53 54
v 54 55
v 55 56
v 56 57
v 57 58
v 58 59
v 59 60
v 60 61
v 61 62
v 62 63
v 63 64
v 64 65
v 65 66
v 66 67
v 67 68
v 68 69
v 69 70
v 70 71
v 71 72
v 72 73
e 45 44 1
e 45 43 2
e 44 3 3
e 45 42 4
e 42 2 5
e 41 2 6
e 43 44 7
e 41 0 8
e 45 41 9
e 44 0 10
e 4 1 11
e 43 42 12
e 2 1 13
e 42 0 14
e 43 41 15
e 45 7 16
e 7 8 17
e 7 5 18
e 8 9 19
e 7 6 20
e 46 9 21
e 47 10 22
e 8 46 23
e 8 47 24
e 46 47 25
e 46 10 26
e 48 15 27
e 15 14 28
e 48 16 29
e 13 12 30
e 48 17 31
e 11 13 32
e 13 17 33
e 11 7 34
e 45 48 35
e 50 49 36
e 45 50 37
e 50 18 38
e 50 20 39
e 50 15 40
e 45 51 41
e 51 21 42
e 51 21 43
e 24 22 44
e 51 53 45
e 24 23 46
e 51 24 47
e 51 56 48
e 46 23 49
e 24 46 50
e 51 55 51
e 51 52 52
e 21 15 53
e 46 22 54
e 54 55 55
e 24 22 56
e 45 57 57
e 58 13 58
e 57 25 59
e 57 26 60
e 57 27 61
e 25 19 62
e 27 58 63
e 45 61 64
e 45 60 65
e 61 60 66
e 60 28 67
e 60 59 68
e 62 63 69
e 47 8 70
e 62 0 71
e 45 62 72
e 61 62 73
e 60 20 74
e 47 29 75
e 45 30 76
e 30 31 77
e 32 0 78
e 31 2 79
e 30 64 80
e 64 1 81
e 30 11 82
e 64 32 83
e 45 67 84
e 67 30 85
e 67 30 86
e 30 66 87
e 33 11 88
e 66 33 89
e 66 65 90
e 45 69 91
e 69 68 92
e 71 35 93
e 71 70 94
e 69 34 95
e 34 7 96
e 34 71 97
e 45 72 98
e 72 37 99
e 72 39 100
e 72 51 101
e 72 38 102
e 72 36 103
e 72 54 104
e 51 40 105
e 51 8 106
e 54 40 107
t # 1
v 0 74
v 1 75
v 2 76
v 3 77
v 4 78
v 5 79
v 6 80
v 7 81
v 8 82
v 9 83
v 10 84
v 11 85
v 12 86
v 13 87
v 14 88
v 15 89
v 16 90
v 17 91
v 18 92
v 19 93
v 20 94
v 21 95
v 22 96
v 23 97
v 24 98
v 25 99
v 26 100
v 27 101
v 28 102
v 29 103
v 30 104
v 31 105
v 32 106
v 33 107
v 34 108
v 35 17
v 36 109
v 37 63
v 38 110
v 39 111
v 40 112
v 41 46
v 42 113
v 43 114
v 44 115
v 45 116
v 46 117
v 47 68
v 48 118
v 49 119
v 50 70
v 51 120
v 52 50
v 53 121
v 54 122
v 55 123
v 56 124
v 57 125
v 58 126
v 59 127
v 60 128
v 61 129
v 62 130
v 63 47
v 64 53
v 65 131
v 66 132
v 67 133
v 68 134
v 69 135
v 70 136
v 71 137
v 72 138
v 73 44
v 74 139
v 75 140
e 41 37 72
e 5 4 108
e 37 0 109
e 39 6 110
e 37 38 111
e 37 36 112
e 36 1 113
e 38 1 114
e 3 2 115
e 39 5 116
e 3 0 117
e 0 36 118
e 38 39 119
e 40 7 120
e 39 40 121
e 40 8 122
e 41 42 123
e 43 39 124
e 42 8 125
e 43 10 126
e 10 4 127
e 42 43 128
e 39 10 129
e 42 9 130
e 39 11 131
e 41 44 132
e 44 12 133
e 44 6 134
e 44 6 135
e 12 2 136
e 6 45 137
e 2 0 138
e 41 47 84
e 47 12 139
e 47 46 140
e 46 14 141
e 46 13 142
e 41 43 143
e 43 15 144
e 15 4 145
e 43 48 146
e 43 17 147
e 17 16 148
e 16 15 149
e 41 40 150
e 40 18 151
e 40 49 152
e 51 15 153
e 41 51 154
e 51 50 155
e 5 20 156
e 50 19 157
e 19 5 158
e 50 5 159
e 21 53 160
e 41 21 161
e 21 52 162
e 21 4 163
e 53 22 164
e 53 23 165
e 41 54 166
e 54 46 167
e 54 21 168
e 46 56 169
e 46 6 170
e 24 4 171
e 24 5 172
e 56 24 173
e 56 55 174
e 41 57 175
e 57 58 176
e 5 25 177
e 25 4 178
e 57 25 179
e 58 5 180
e 58 26 181
e 27 0 182
e 27 22 183
e 58 27 184
e 27 28 185
e 51 21 186
e 51 59 187
e 29 25 188
e 59 60 189
e 59 21 190
e 60 29 191
e 41 46 192
e 46 31 193
e 46 39 194
e 61 32 195
e 46 31 196
e 46 61 197
e 39 30 198
e 41 68 199
e 68 15 200
e 46 62 201
e 63 65 202
e 68 46 203
e 68 63 204
e 68 65 205
e 63 46 206
e 65 66 207
e 65 67 208
e 65 64 209
e 66 67 210
e 41 63 211
e 63 69 212
e 41 69 213
e 69 70 214
e 41 71 215
e 71 33 216
e 33 0 217
e 71 34 218
e 34 8 219
e 73 74 220
e 41 74 221
e 41 73 2
e 74 75 222
e 73 46 223
e 74 35 224
e 74 64 225
e 41 72 226
e 46 34 227
t # 2
v 0 141
v 1 39
v 2 142
v 3 143
v 4 144
v 5 145
v 6 71
v 7 146
v 8 147
v 9 148
v 10 149
v 11 150
v 12 56
v 13 151
v 14 152
v 15 153
v 16 154
v 17 155
v 18 156
v 19 157
v 20 158
v 21 159
v 22 160
v 23 161
v 24 162
v 25 123
v 26 163
v 27 164
v 28 165
v 29 9
v 30 166
v 31 167
v 32 168
v 33 169
v 34 170
v 35 171
v 36 53
v 37 172
v 38 173
v 39 174
v 40 175
v 41 46
v 42 47
v 43 176
v 44 177
v 45 178
v 46 179
v 47 180
v 48 181
v 49 182
v 50 52
v 51 183
v 52 184
v 53 185
v 54 186
v 55 187
v 56 112
v 57 188
v 58 70
v 59 44
v 60 117
v 61 189
v 62 190
v 63 191
v 64 192
v 65 193
v 66 194
v 67 120
v 68 195
v 69 196
v 70 197
v 71 198
v 72 199
v 73 200
v 74 201
v 75 202
v 76 203
v 77 133
v 78 131
e 41 40 228
e 40 0 229
e 0 1 230
e 40 1 231
e 40 3 232
e 41 44 233
e 44 4 234
e 44 43 235
e 44 42 236
e 45 8 237
e 44 5 238
e 5 4 239
e 8 7 240
e 44 45 241
e 41 50 41
e 41 46 242
e 41 47 243
e 46 9 244
e 41 48 245
e 42 50 246
e 42 48 247
e 50 4 248
e 46 4 249
e 50 11 250
e 48 4 251
e 48 49 252
e 50 51 253
e 47 46 254
e 47 42 255
e 47 4 256
e 41 42 211
e 49 10 257
e 41 53 258
e 53 0 259
e 53 54 260
e 53 12 261
e 54 14 262
e 53 13 263
e 13 52 264
e 56 53 265
e 56 18 266
e 41 56 150
e 56 55 267
e 55 0 268
e 55 15 269
e 18 2 270
e 53 17 271
e 55 16 272
e 15 16 273
e 41 59 2
e 41 60 192
e 59 60 223
e 57 58 274
e 57 0 275
e 59 0 276
e 41 57 277
e 59 57 278
e 60 61 279
e 58 19 280
e 60 0 281
e 62 19 282
e 58 9 283
e 61 62 284
e 58 13 285
e 41 0 286
e 0 20 287
e 0 20 288
e 41 67 154
e 67 0 289
e 67 60 290
e 67 59 291
e 60 63 292
e 23 21 293
e 66 65 294
e 23 0 295
e 63 22 296
e 64 66 297
e 67 64 298
e 59 64 299
e 59 60 300
e 64 13 301
e 60 23 302
e 60 69 303
e 70 24 304
e 60 70 305
e 60 25 306
e 70 71 307
e 0 6 308
e 25 0 309
e 69 68 310
e 42 60 311
e 41 72 312
e 72 26 313
e 42 72 314
e 72 0 315
e 25 0 316
e 41 27 317
e 41 27 318
e 27 2 319
e 27 49 320
e 49 4 321
e 73 27 322
e 41 73 323
e 28 0 324
e 73 28 325
e 41 58 91
e 53 16 326
e 53 32 327
e 58 2 328
e 58 31 329
e 58 74 330
e 31 2 331
e 58 53 332
e 58 30 333
e 58 29 334
e 58 31 335
e 41 76 336
e 76 75 337
e 76 33 338
e 76 33 339
e 33 34 340
e 34 2 341
e 41 77 342
e 77 33 343
e 77 33 344
e 77 36 345
e 67 33 346
e 67 37 347
e 37 33 348
e 37 33 349
e 37 35 350
e 41 33 351
e 33 38 352
e 33 34 353
e 33 78 354
e 78 39 355
e 78 66 356
e 66 78 357
e 78 33 358
t # 3
v 0 204
v 1 205
v 2 206
v 3 12
v 4 207
v 5 208
v 6 209
v 7 210
v 8 211
