t # 0
v 0 1
v 1 2
v 2 3
v 3 4
v 4 5
v 5 6
v 6 7
v 7 8
v 8 9
v 9 10
v 10 11
v 11 12
v 12 13
v 13 14
v 14 15
v 15 16
v 16 17
v 17 18
v 18 19
v 19 20
v 20 21
v 21 22
v 22 23
v 23 24
v 24 25
v 25 26
v 26 27
v 27 28
v 28 29
v 29 30
v 30 31
v 31 32
v 32 33
v 33 34
v 34 35
v 35 36
v 36 37
v 37 38
v 38 39
v 39 40
v 40 41
v 41 42
v 42 43
v 43 44
v 44 45
v 45 46
v 46 47
v 47 48
v 48 49
v 49 50
v 50 51
v 51 52
v 52 53
v 53 54
v 54 55
v 55 56
v 56 57
v 57 58
v 58 59
v 59 60
v 60 61
v 61 62
v 62 63
v 63 64
e 32 30 1
e 31 1 2
e 29 1 3
e 30 3 4
e 28 29 5
e 30 0 6
e 3 31 7
e 31 4 8
e 28 0 9
e 32 33 10
e 35 29 11
e 29 0 12
e 29 10 13
e 33 5 14
e 7 0 15
e 35 34 16
e 33 0 17
e 10 9 18
e 7 6 19
e 10 8 20
e 5 35 21
e 33 7 22
e 32 36 23
e 36 0 24
e 36 38 25
e 38 37 26
e 32 39 27
e 39 19 28
e 39 11 29
e 19 0 30
e 19 0 31
e 11 1 32
e 32 0 33
e 32 19 34
e 32 40 35
e 0 19 36
e 0 40 37
e 40 41 38
e 40 2 39
e 19 0 40
e 19 12 41
e 32 0 42
e 43 44 43
e 16 0 44
e 14 0 45
e 42 14 46
e 44 16 47
e 19 43 48
e 14 15 49
e 42 13 50
e 17 9 51
e 39 0 52
e 39 0 53
e 0 11 54
e 11 6 55
e 0 4 56
e 47 9 57
e 45 18 58
e 45 0 59
e 19 46 60
e 32 45 61
e 19 47 62
e 32 48 63
e 48 49 64
e 21 0 65
e 21 20 66
e 48 0 67
e 49 50 68
e 50 21 69
e 32 51 70
e 51 22 71
e 22 0 72
e 51 23 73
e 32 56 74
e 56 53 75
e 53 55 76
e 24 0 77
e 55 54 78
e 55 0 79
e 53 52 80
e 55 22 81
e 55 24 82
e 58 59 83
e 19 58 84
e 59 25 85
e 19 61 86
e 62 0 87
e 58 57 88
e 62 27 89
e 62 11 90
e 59 26 91
e 61 62 92
e 62 63 93
e 61 60 94
t # 1
v 0 65
v 1 66
v 2 67
v 3 68
v 4 69
v 5 70
v 6 71
v 7 72
v 8 73
v 9 74
v 10 75
v 11 16
v 12 76
v 13 77
v 14 78
v 15 79
v 16 80
v 17 12
v 18 81
v 19 82
v 20 83
v 21 84
v 22 85
v 23 86
v 24 87
v 25 88
v 26 25
v 27 89
v 28 90
v 29 91
v 30 92
v 31 93
v 32 94
v 33 7
v 34 95
v 35 96
v 36 32
v 37 97
v 38 98
v 39 99
v 40 100
v 41 101
v 42 33
v 43 34
v 44 102
v 45 103
v 46 50
v 47 51
v 48 104
v 49 20
v 50 105
v 51 106
v 52 107
v 53 108
v 54 109
v 55 52
v 56 110
v 57 111
v 58 112
v 59 56
v 60 113
v 61 114
v 62 115
v 63 116
v 64 117
v 65 118
v 66 119
v 67 120
v 68 121
v 69 122
v 70 123
v 71 29
v 72 124
v 73 125
v 74 126
v 75 127
v 76 128
v 77 129
v 78 130
v 79 131
v 80 132
v 81 133
v 82 134
v 83 135
v 84 136
v 85 137
v 86 138
e 5 41 95
e 42 38 96
e 38 39 97
e 39 0 98
e 38 0 99
e 40 2 100
e 4 3 101
e 39 40 102
e 40 4 103
e 4 5 104
e 0 37 105
e 42 0 106
e 42 43 10
e 43 7 107
e 4 0 108
e 0 43 109
e 43 8 110
e 44 10 111
e 43 0 112
e 7 6 113
e 10 11 114
e 42 48 115
e 48 49 116
e 42 49 34
e 42 46 117
e 48 46 118
e 7 0 119
e 46 0 120
e 46 47 68
e 49 0 121
e 51 50 122
e 49 51 123
e 46 45 124
e 49 12 125
e 51 12 126
e 38 43 127
e 0 4 128
e 38 48 129
e 0 4 130
e 38 0 131
e 48 43 132
e 48 0 133
e 43 13 134
e 42 53 135
e 47 0 136
e 53 0 137
e 53 14 138
e 14 47 139
e 47 15 140
e 53 7 141
e 47 9 142
e 49 54 143
e 49 16 144
e 49 16 145
e 16 0 146
e 38 18 147
e 55 17 148
e 57 17 149
e 48 57 150
e 42 57 151
e 48 38 152
e 57 54 153
e 57 19 154
e 38 55 155
e 56 17 156
e 55 56 157
e 38 19 158
e 42 17 159
e 17 58 160
e 59 19 161
e 58 59 162
e 59 19 163
e 42 60 164
e 60 20 165
e 1 17 166
e 61 0 167
e 61 1 168
e 60 61 169
e 1 7 170
e 20 61 171
e 42 64 172
e 64 48 173
e 62 63 174
e 64 0 175
e 64 62 176
e 62 0 177
e 63 21 178
e 51 22 179
e 63 0 180
e 65 51 181
e 68 25 182
e 68 66 183
e 49 23 184
e 68 67 185
e 23 25 186
e 49 24 187
e 23 68 188
e 42 69 189
e 70 49 190
e 42 70 191
e 28 0 192
e 49 70 193
e 49 73 194
e 49 26 195
e 49 71 196
e 29 0 197
e 69 0 198
e 29 0 199
e 70 69 200
e 73 29 201
e 71 72 202
e 43 27 203
e 71 28 204
e 69 26 205
e 70 43 206
e 70 73 207
e 32 0 208
e 49 74 209
e 0 77 210
e 38 49 211
e 49 30 212
e 30 0 213
e 49 32 214
e 36 33 215
e 76 0 216
e 38 70 217
e 0 31 218
e 0 52 219
e 70 0 220
e 14 76 221
e 49 36 222
e 36 78 223
e 74 14 224
e 70 49 225
e 76 75 226
e 70 38 227
e 42 79 228
e 79 49 229
e 79 0 230
e 49 34 231
e 34 0 232
e 34 0 233
e 49 34 234
e 84 83 235
e 84 0 236
e 82 84 237
e 70 0 238
e 48 70 239
e 70 63 240
e 42 80 241
e 63 35 242
e 42 63 243
e 82 23 244
e 42 81 245
e 80 0 246
e 81 0 247
e 70 80 248
e 81 52 249
e 70 82 250
e 36 0 251
e 49 36 252
e 85 86 253
e 70 85 254
e 42 85 255
t # 2
v 0 139
v 1 140
v 2 141
v 3 25
v 4 142
v 5 143
v 6 144
v 7 145
v 8 146
v 9 147
v 10 88
v 11 148
v 12 149
v 13 150
v 14 151
v 15 152
v 16 153
v 17 154
v 18 155
v 19 156
v 20 157
v 21 120
v 22 158
v 23 159
v 24 160
v 25 161
v 26 162
v 27 163
v 28 164
v 29 165
v 30 166
v 31 28
v 32 167
v 33 168
v 34 169
v 35 170
v 36 171
v 37 172
v 38 173
v 39 174
v 40 175
v 41 96
v 42 176
v 43 177
v 44 114
v 45 42
v 46 178
v 47 179
v 48 180
v 49 181
v 50 182
v 51 183
v 52 184
v 53 185
v 54 186
v 55 187
v 56 188
v 57 189
v 58 190
v 59 191
v 60 192
v 61 193
v 62 194
v 63 195
v 64 196
v 65 197
v 66 30
v 67 198
v 68 199
v 69 200
v 70 201
v 71 129
v 72 47
v 73 202
v 74 203
v 75 204
v 76 205
v 77 206
v 78 207
